Sample_ID,GSM,SRX,SRR,Group

ER_01,GSM1401676,SRX559741,SRR1313090,ER+
ER_02,GSM1401677,SRX559742,SRR1313091,ER+
ER_03,GSM1401678,SRX559743,SRR1313092,ER+
ER_04,GSM1401679,SRX559744,SRR1313093,ER+
ER_05,GSM1401680,SRX559745,SRR1313094,ER+
ER_06,GSM1401681,SRX559746,SRR1313095,ER+
ER_07,GSM1401682,SRX559747,SRR1313096,ER+
ER_08,GSM1401683,SRX559748,SRR1313097,ER+
ER_09,GSM1401684,SRX559749,SRR1313098,ER+
ER_10,GSM1401685,SRX559750,SRR1313099,ER+

TNBC_01,GSM1401718,SRX559783,SRR1313132,TNBC
TNBC_02,GSM1401719,SRX559784,SRR1313133,TNBC
TNBC_03,GSM1401720,SRX559785,SRR1313134,TNBC
TNBC_04,GSM1401721,SRX559786,SRR1313135,TNBC
TNBC_05,GSM1401722,SRX559787,SRR1313136,TNBC
TNBC_06,GSM1401723,SRX559788,SRR1313137,TNBC
TNBC_07,GSM1401724,SRX559789,SRR1313138,TNBC
TNBC_08,GSM1401725,SRX559790,SRR1313139,TNBC
TNBC_09,GSM1401726,SRX559791,SRR1313140,TNBC
TNBC_10,GSM1401727,SRX559792,SRR1313141,TNBC
