Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue
SRR1313062,RNA-Seq,100,2796034200,PRJNA251383,SAMN02820988,1896178749,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559713,GSM1401648,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:30:00Z,1,GSM1401648,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313063,RNA-Seq,100,3104590100,PRJNA251383,SAMN02820982,2059756251,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559714,GSM1401649,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:32:00Z,1,GSM1401649,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313064,RNA-Seq,100,4506044000,PRJNA251383,SAMN02820992,3098093477,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559715,GSM1401650,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:34:00Z,1,GSM1401650,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313065,RNA-Seq,99,4830248992,PRJNA251383,SAMN02820984,3128775428,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559716,GSM1401651,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-17T17:25:00Z,1,GSM1401651,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313066,RNA-Seq,100,3323508100,PRJNA251383,SAMN02820983,2086588309,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559717,GSM1401652,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:38:00Z,1,GSM1401652,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313067,RNA-Seq,100,5381852400,PRJNA251383,SAMN02820989,3866855629,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559718,GSM1401653,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:40:00Z,1,GSM1401653,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313068,RNA-Seq,100,5352263400,PRJNA251383,SAMN02820986,3776138445,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559719,GSM1401654,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:38:00Z,1,GSM1401654,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313069,RNA-Seq,100,15764817900,PRJNA251383,SAMN02820985,9824534687,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559720,GSM1401655,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:24:00Z,1,GSM1401655,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313070,RNA-Seq,100,15616925300,PRJNA251383,SAMN02820996,9691555087,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559721,GSM1401656,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:15:00Z,1,GSM1401656,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313071,RNA-Seq,100,8549346000,PRJNA251383,SAMN02820994,5992036316,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559722,GSM1401657,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:50:00Z,1,GSM1401657,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313072,RNA-Seq,100,10895154600,PRJNA251383,SAMN02821015,7561281659,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559723,GSM1401658,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:51:00Z,1,GSM1401658,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313073,RNA-Seq,100,13556794400,PRJNA251383,SAMN02820987,8508288304,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559724,GSM1401659,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:36:00Z,1,GSM1401659,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313074,RNA-Seq,100,12760318000,PRJNA251383,SAMN02820991,7991793972,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559725,GSM1401660,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:24:00Z,1,GSM1401660,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313075,RNA-Seq,100,16180222400,PRJNA251383,SAMN02820993,9856165322,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559726,GSM1401661,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:34:00Z,1,GSM1401661,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313076,RNA-Seq,100,10846228300,PRJNA251383,SAMN02820990,6808914726,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559727,GSM1401662,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:13:00Z,1,GSM1401662,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313077,RNA-Seq,100,13832326100,PRJNA251383,SAMN02821016,8643730671,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559728,GSM1401663,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:25:00Z,1,GSM1401663,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313078,RNA-Seq,100,15070111900,PRJNA251383,SAMN02820995,9410435328,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559729,GSM1401664,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:25:00Z,1,GSM1401664,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313079,RNA-Seq,100,7201293200,PRJNA251383,SAMN02821013,5232281501,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559730,GSM1401665,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:58:00Z,1,GSM1401665,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313080,RNA-Seq,100,7020499300,PRJNA251383,SAMN02821017,5002971680,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559731,GSM1401666,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:58:00Z,1,GSM1401666,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313081,RNA-Seq,100,10325344600,PRJNA251383,SAMN02820997,7220651293,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559732,GSM1401667,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:07:00Z,1,GSM1401667,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313082,RNA-Seq,100,10662953300,PRJNA251383,SAMN02821020,7780242464,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559733,GSM1401668,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:06:00Z,1,GSM1401668,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313083,RNA-Seq,100,11899109100,PRJNA251383,SAMN02821004,8248439889,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559734,GSM1401669,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:12:00Z,1,GSM1401669,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313084,RNA-Seq,100,5961359400,PRJNA251383,SAMN02821003,4112734912,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559735,GSM1401670,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T13:55:00Z,1,GSM1401670,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313085,RNA-Seq,100,8598026800,PRJNA251383,SAMN02821006,5816028973,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559736,GSM1401671,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:01:00Z,1,GSM1401671,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313086,RNA-Seq,100,8800184300,PRJNA251383,SAMN02821011,5953941711,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559737,GSM1401672,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:03:00Z,1,GSM1401672,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313087,RNA-Seq,100,8927304200,PRJNA251383,SAMN02821001,6069641558,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559738,GSM1401673,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:03:00Z,1,GSM1401673,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313088,RNA-Seq,100,9914339100,PRJNA251383,SAMN02821007,6683071708,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559739,GSM1401674,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T14:11:00Z,1,GSM1401674,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313089,RNA-Seq,100,9897351800,PRJNA251383,SAMN02821009,6775516039,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559740,GSM1401675,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T15:00:00Z,1,GSM1401675,Breast Cancer Cell Line,SRP042620,Breast Cancer Cell Line
SRR1313090,RNA-Seq,100,5333627300,PRJNA251383,SAMN02821119,3600249356,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559741,GSM1401676,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T12:37:00Z,1,GSM1401676,ER+ Breast Cancer Primary Tumor,SRP042620,ER+ Breast Cancer Primary Tumor
SRR1313091,RNA-Seq,100,6559596500,PRJNA251383,SAMN02821114,4433356861,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559742,GSM1401677,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T12:39:00Z,1,GSM1401677,ER+ Breast Cancer Primary Tumor,SRP042620,ER+ Breast Cancer Primary Tumor
SRR1313092,RNA-Seq,100,6524835100,PRJNA251383,SAMN02821122,4554948776,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX559743,GSM1401678,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2014-06-12T00:00:00Z,2014-06-02T12:42:00Z,1,GSM1401678,ER+ Breast Cancer Primary Tumor,SRP042620,ER+ Breast Cancer Primary Tumor
