"gene_name","baseMean","log2FoldChange","pvalue","padj","gene_biotype"
"PGR",1789.0627396842,5.86706625158279,6.74309929019278e-16,2.61329501062777e-13,"protein_coding"
"ESR1",2762.71369660635,4.80765119425163,1.75779500011293e-15,6.06918673675357e-13,"protein_coding"
"FOXA1",4113.72883079403,4.6018466801853,3.45818630592446e-12,5.95624691135571e-10,"protein_coding"
"GATA3",16202.3739302777,3.08956965598784,6.92844976090832e-09,4.47521295781119e-07,"protein_coding"
"ERBB2",18490.0831427959,1.42346638031366,2.92691823310422e-07,1.2004789902084e-05,"protein_coding"
"EGFR",1295.41581104345,-2.09795031267347,1.71899446407638e-06,5.1980421771991e-05,"protein_coding"
"MKI67",7429.3464270812,-1.61712304779623,0.0050219071619703,0.0307731581173979,"protein_coding"
"KRT5",13714.1158923648,-1.52852337245548,0.0985699975378145,0.258078623086047,"protein_coding"
"KRT17",16468.6622956454,-0.951281461672951,0.20888580799913,0.419938756500473,"protein_coding"
"KRT14",13965.0410688464,-0.8954672537516,0.373887391455152,0.600773027493341,"protein_coding"
