"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","pvalue","padj","direction"
"ENSG00000160180","TFF3","protein_coding",3189.5752204231,8.53390060012042,5.94021454738441e-42,1.1280467425483e-37,"Higher_in_ER_pos"
"ENSG00000176532","PRR15","protein_coding",488.865099627557,5.03808877185659,1.44586858352509e-36,1.37285222005708e-32,"Higher_in_ER_pos"
"ENSG00000206113","CFAP99","protein_coding",120.577870513422,4.16333878667964,4.94322597512927e-35,3.12906204225683e-31,"Higher_in_ER_pos"
"ENSG00000074410","CA12","protein_coding",12559.2397188032,5.73716434830193,2.55974280485205e-28,7.01605553265569e-25,"Higher_in_ER_pos"
"ENSG00000171428","NAT1","protein_coding",1858.23450532237,5.72297775192271,2.58622373504949e-28,7.01605553265569e-25,"Higher_in_ER_pos"
"ENSG00000057593","F7","protein_coding",1278.57271962049,7.154571454202,6.71488589493411e-28,1.59394603930998e-24,"Higher_in_ER_pos"
"ENSG00000109436","TBC1D9","protein_coding",3555.37054120683,3.65620948720604,1.67526722725865e-26,3.53481384951576e-23,"Higher_in_ER_pos"
"ENSG00000167861","HID1","protein_coding",15265.8281121309,2.99719566816448,3.91721225140467e-26,7.43878606541746e-23,"Higher_in_ER_pos"
"ENSG00000115648","MLPH","protein_coding",16215.7983140327,4.57753836062275,6.73165817353597e-25,1.16212898832225e-21,"Higher_in_ER_pos"
"ENSG00000169083","AR","protein_coding",4134.77621504686,4.10658821908619,5.78937512387293e-24,9.16168613352891e-21,"Higher_in_ER_pos"
"ENSG00000115255","REEP6","protein_coding",2694.11499644275,5.08390656837086,3.57283858348763e-23,5.21909266926386e-20,"Higher_in_ER_pos"
"ENSG00000003989","SLC7A2","protein_coding",3994.09989227098,5.49234708537247,1.29343549217839e-21,1.63748933309784e-18,"Higher_in_ER_pos"
"ENSG00000117472","TSPAN1","protein_coding",1072.4955772273,4.74567338407876,2.73356673170461e-21,3.24440201469191e-18,"Higher_in_ER_pos"
"ENSG00000170469","SPATA24","protein_coding",236.988773553841,3.14352976303675,1.60672981786963e-20,1.69509995785246e-17,"Higher_in_ER_pos"
"ENSG00000101222","SPEF1","protein_coding",184.783065535177,3.44939641797961,2.21289727368236e-20,2.21173259090673e-17,"Higher_in_ER_pos"
"ENSG00000117480","FAAH","protein_coding",2917.12905848839,2.10857786702856,1.20948608799071e-19,1.04400640049744e-16,"Higher_in_ER_pos"
"ENSG00000110171","TRIM3","protein_coding",2970.65330834212,2.77158978907057,1.92628040616346e-19,1.59043760491496e-16,"Higher_in_ER_pos"
"ENSG00000187244","BCAM","protein_coding",18404.8749408186,2.25924354179519,2.26858365457342e-19,1.79501681668122e-16,"Higher_in_ER_pos"
"ENSG00000150667","FSIP1","protein_coding",756.255130656784,6.43662458331123,2.72715906944903e-19,2.07155002915348e-16,"Higher_in_ER_pos"
"ENSG00000101210","EEF1A2","protein_coding",4631.41991174,5.35194271692719,3.65357892136736e-19,2.66851783526023e-16,"Higher_in_ER_pos"
"ENSG00000130513","GDF15","protein_coding",1028.70329192679,5.50663972779055,6.29166831782361e-19,4.42514005020261e-16,"Higher_in_ER_pos"
"ENSG00000175356","SCUBE2","protein_coding",8354.5946161584,5.74176029818133,8.63429237478871e-19,5.85590043561563e-16,"Higher_in_ER_pos"
"ENSG00000006071","ABCC8","protein_coding",2442.39721021704,4.34765571205192,1.39027659853959e-18,9.10391469181612e-16,"Higher_in_ER_pos"
"ENSG00000158258","CLSTN2","protein_coding",2342.68291036438,4.32215946640849,4.1257061709686e-18,2.61157200622313e-15,"Higher_in_ER_pos"
"ENSG00000092068","SLC7A8","protein_coding",4569.05864032365,4.00973218046657,1.01071049336412e-17,5.81617947544991e-15,"Higher_in_ER_pos"
"ENSG00000100219","XBP1","protein_coding",25934.693903626,3.55411940993653,1.97386412079877e-17,1.1024611662932e-14,"Higher_in_ER_pos"
"ENSG00000276644","DACH1","protein_coding",350.528652487859,3.66814840512086,2.81517704780982e-17,1.44487059832185e-14,"Higher_in_ER_pos"
"ENSG00000187720","THSD4","protein_coding",2763.48066481569,3.64371122213654,4.54427071964362e-17,2.21271028118032e-14,"Higher_in_ER_pos"
"ENSG00000135638","EMX1","protein_coding",138.283514753633,5.47770411593764,3.90085003176594e-16,1.57610940645181e-13,"Higher_in_ER_pos"
"ENSG00000187266","EPOR","protein_coding",1289.43284512833,3.14996374000055,5.24315926658818e-16,2.07432488484395e-13,"Higher_in_ER_pos"
"ENSG00000082175","PGR","protein_coding",1789.0627396842,5.86706625158279,6.74309929019278e-16,2.61329501062777e-13,"Higher_in_ER_pos"
"ENSG00000180777","ANKRD30B","protein_coding",3126.59014705691,4.94382266934863,6.88767652936908e-16,2.61593954585438e-13,"Higher_in_ER_pos"
"ENSG00000203697","CAPN8","protein_coding",2554.95047512947,4.83960426514957,7.20036756407335e-16,2.68107804003437e-13,"Higher_in_ER_pos"
"ENSG00000168350","DEGS2","protein_coding",3056.87071919285,4.82064530263134,9.29248368423913e-16,3.3935435608404e-13,"Higher_in_ER_pos"
"ENSG00000173467","AGR3","protein_coding",989.600909589837,6.52786561167401,1.03819996075551e-15,3.71989004806548e-13,"Higher_in_ER_pos"
"ENSG00000095321","CRAT","protein_coding",5103.73566655554,3.24683129738762,1.13850687746854e-15,4.00374918576436e-13,"Higher_in_ER_pos"
"ENSG00000091831","ESR1","protein_coding",2762.71369660635,4.80765119425163,1.75779500011293e-15,6.06918673675357e-13,"Higher_in_ER_pos"
"ENSG00000126010","GRPR","protein_coding",156.363378586033,5.93180733897052,1.87751607010891e-15,6.36679110203002e-13,"Higher_in_ER_pos"
"ENSG00000197191","CYSRT1","protein_coding",210.339735361761,3.38603489748696,2.08658036940201e-15,6.83175193361107e-13,"Higher_in_ER_pos"
"ENSG00000109501","WFS1","protein_coding",4287.64814641448,2.24716196165207,3.00960945772089e-15,9.55287518150773e-13,"Higher_in_ER_pos"
"ENSG00000183206","POTEC","protein_coding",1098.67627823537,5.66538480062874,6.71572725145466e-15,2.05696226621168e-12,"Higher_in_ER_pos"
"ENSG00000113763","UNC5A","protein_coding",705.79775359409,4.65851966321565,1.03631200182174e-14,3.1237404626341e-12,"Higher_in_ER_pos"
"ENSG00000162482","AKR7A3","protein_coding",580.735647494039,3.25698506160978,1.43248530895215e-14,4.25045250265645e-12,"Higher_in_ER_pos"
