"gene_id","gene_name","gene_biotype","baseMean","log2FoldChange","pvalue","padj","direction"
"ENSG00000166426","CRABP1","protein_coding",1650.65167986883,-7.23399612510603,7.16451623266548e-22,9.71815451845124e-19,"Higher_in_TNBC"
"ENSG00000148143","ZNF462","protein_coding",1894.18088328976,-2.75110835579296,1.6012306149321e-20,1.69509995785246e-17,"Higher_in_TNBC"
"ENSG00000151025","GPR158","protein_coding",155.85610304871,-4.63495541602191,6.01358580955292e-20,5.70989972617049e-17,"Higher_in_TNBC"
"ENSG00000249992","TMEM158","protein_coding",759.429695789802,-4.74741744712989,1.13444356697285e-19,1.02586111127688e-16,"Higher_in_TNBC"
"ENSG00000054598","FOXC1","protein_coding",5393.61397940292,-4.19026935019866,5.11056244280945e-18,3.13063163835327e-15,"Higher_in_TNBC"
"ENSG00000154277","UCHL1","protein_coding",1523.89532338734,-4.64441927635162,2.30243532632704e-17,1.21453463463751e-14,"Higher_in_TNBC"
"ENSG00000157827","FMNL2","protein_coding",1742.89954222717,-2.20557529501893,3.31438466044118e-17,1.656320123731e-14,"Higher_in_TNBC"
"ENSG00000135374","ELF5","protein_coding",1197.87163588531,-3.50538419726696,6.12180000440877e-17,2.90632455209306e-14,"Higher_in_TNBC"
"ENSG00000174607","UGT8","protein_coding",321.341149862022,-3.15731770660964,6.52855549433391e-17,3.02383582530246e-14,"Higher_in_TNBC"
"ENSG00000114547","ROPN1B","protein_coding",337.740857580172,-5.10908770688866,1.28102558032235e-16,5.77635161473927e-14,"Higher_in_TNBC"
"ENSG00000135069","PSAT1","protein_coding",900.905774682257,-4.90253605660924,1.3079679801674e-16,5.77635161473927e-14,"Higher_in_TNBC"
"ENSG00000102243","VGLL1","protein_coding",398.400290847687,-5.52853623109689,1.77562696780383e-16,7.49314580413218e-14,"Higher_in_TNBC"
"ENSG00000186897","C1QL4","protein_coding",309.55082784072,-6.31108765396704,3.27364391981471e-16,1.35144560950612e-13,"Higher_in_TNBC"
"ENSG00000065371","ROPN1","protein_coding",214.838441779815,-6.0516440638088,1.95113567623226e-15,6.50036254239483e-13,"Higher_in_TNBC"
"ENSG00000115596","WNT6","protein_coding",704.671280680573,-5.46252515952351,6.68045412896139e-15,2.05696226621168e-12,"Higher_in_TNBC"
"ENSG00000189001","SBSN","protein_coding",219.865286185694,-5.94875957616891,4.34000020513038e-13,9.92971131270192e-11,"Higher_in_TNBC"
"ENSG00000268104","SLC6A14","protein_coding",489.891169445056,-3.70522091724534,5.17785011510304e-13,1.15679263159773e-10,"Higher_in_TNBC"
"ENSG00000119787","ATL2","protein_coding",3577.2337583385,-1.68009347390154,9.58577287935691e-13,1.93653007424455e-10,"Higher_in_TNBC"
"ENSG00000146281","PM20D2","protein_coding",929.952457862127,-1.55744357586133,1.07267029169004e-12,2.12187592074935e-10,"Higher_in_TNBC"
"ENSG00000143401","ANP32E","protein_coding",2654.89614622467,-2.35359848712684,1.52527030703817e-12,2.89648831306548e-10,"Higher_in_TNBC"
"ENSG00000143178","TBX19","protein_coding",490.633206681743,-1.82301602601909,2.37954177148012e-12,4.26297153211391e-10,"Higher_in_TNBC"
"ENSG00000163064","EN1","protein_coding",1461.95235204529,-4.60708313411107,3.92256200715256e-12,6.53416250138835e-10,"Higher_in_TNBC"
"ENSG00000164626","KCNK5","protein_coding",1994.59338636839,-3.29178038097295,5.9750859663815e-12,9.30056413947416e-10,"Higher_in_TNBC"
"ENSG00000100302","RASD2","protein_coding",5578.99364741328,-4.82687925302795,6.65273681396882e-12,1.01883445239732e-09,"Higher_in_TNBC"
"ENSG00000094755","GABRP","protein_coding",6184.55100112592,-2.43874662481897,1.30034200729711e-11,1.94436966287969e-09,"Higher_in_TNBC"
"ENSG00000119900","OGFRL1","protein_coding",2519.20756868599,-1.76033521483167,1.32057256324998e-11,1.95919320125915e-09,"Higher_in_TNBC"
"ENSG00000135912","TTLL4","protein_coding",3192.06481135887,-2.39170283570409,1.43882407524754e-11,2.05729600892388e-09,"Higher_in_TNBC"
"ENSG00000109654","TRIM2","protein_coding",1993.67389745485,-1.59330843458392,2.52112851537644e-11,3.37465485154112e-09,"Higher_in_TNBC"
"ENSG00000188763","FZD9","protein_coding",172.6679650492,-4.0189953759204,3.35844818495111e-11,4.33864212291372e-09,"Higher_in_TNBC"
"ENSG00000138083","SIX3","protein_coding",281.397802918681,-5.02216820001893,3.87267162694211e-11,4.93570699299535e-09,"Higher_in_TNBC"
"ENSG00000121005","CRISPLD1","protein_coding",1342.06136476084,-4.15690847470083,5.48721795623661e-11,6.81060581627015e-09,"Higher_in_TNBC"
"ENSG00000133019","CHRM3","protein_coding",1030.30738263016,-3.01875211040018,6.31238190561947e-11,7.7839047005009e-09,"Higher_in_TNBC"
"ENSG00000134760","DSG1","protein_coding",750.752738659923,-6.72051448308241,6.48079124438845e-11,7.94001456328624e-09,"Higher_in_TNBC"
"ENSG00000111716","LDHB","protein_coding",3253.23875303394,-3.39528788280036,7.72145558588399e-11,9.22204035068787e-09,"Higher_in_TNBC"
"ENSG00000005513","SOX8","protein_coding",1274.35191589346,-4.19448533654064,8.21874901801239e-11,9.74645804250169e-09,"Higher_in_TNBC"
"ENSG00000182175","RGMA","protein_coding",4131.34224446667,-2.99162410726993,9.91691766409148e-11,1.15535132785949e-08,"Higher_in_TNBC"
"ENSG00000135540","NHSL1","protein_coding",871.249520132801,-2.15610475936563,1.13931070018779e-10,1.30564354650309e-08,"Higher_in_TNBC"
