"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010817","regulation of hormone levels","85/1319","473/14562",0.179704016913319,1.98396504495205,6.86586034664307,4.8923811812968e-10,2.55871535781822e-06,2.48584462759154e-06,"HID1/ABCC8/SLC7A8/ESR1/KCNJ11/CPLX1/DHRS2/FOXA1/PCSK4/TRPM4/GATA3/TFAP2B/LIPE/CYP21A2/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SULT1A1/PNPLA2/RETSAT/SYBU/RAB11FIP1/WNK4/SYTL4/STC2/MYB/C1QTNF3/KISS1R/CACNA1H/BCAT2/MYRIP/RAB3A/SIRT3/DHRS4/HPN/GPER1/SYT7/MIDN/ADCY5/AGTR1/TPO/GIPR/UCN/ADRA2C/NAGLU/ADH1B/ABAT/PCLO/DHRS7/CHST8/STARD3/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SRD5A2/SLC30A8/DGKQ/SNAP23/TOR2A/PCSK6/NNAT/NDUFAF2/ANPEP/HSD17B4/DDO/SLC30A5/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/CPA3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",85
"GO:0035082","axoneme assembly","27/1319","93/14562",0.290322580645161,3.20521411626599,6.73283217171498,2.89647373193135e-08,4.21365004516606e-05,4.0936477343296e-05,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/DNAAF1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57",27
"GO:0009914","hormone transport","56/1319","291/14562",0.192439862542955,2.12457109806711,6.11548659264883,4.2918583235219e-08,4.21365004516606e-05,4.0936477343296e-05,"ABCC8/SLC7A8/KCNJ11/CPLX1/TRPM4/GATA3/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",56
"GO:0023061","signal release","76/1319","446/14562",0.170403587443946,1.88128661134097,5.96559252618822,4.40414120267212e-08,4.21365004516606e-05,4.0936477343296e-05,"ABCC8/KCNJ11/SYT9/CPLX1/GRM4/SYT1/TRPM4/GATA3/TFAP2B/GRIK5/SLC44A4/BAIAP3/SLC4A8/RIMS4/ITPR1/RPH3AL/RAPGEF3/SYBU/DOC2A/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/TSPOAP1/SNCG/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADORA2A/ADCY5/AGTR1/GIPR/UCN/ADRA2C/LIN7A/MYOF/PTGES/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/PRRT2/UCP2/ADIPOQ/TBX3/RAB44/LEP/PORCN/INHA/VAMP2/CADPS2/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/CHRNB2/PIP5K1C/PPFIA2/P2RX4/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",76
"GO:0003341","cilium movement","45/1319","212/14562",0.212264150943396,2.34343484915674,6.21846793070709,4.68177260643896e-08,4.21365004516606e-05,4.0936477343296e-05,"SPEF1/BBOF1/ZMYND10/BBS4/CIMIP2A/CFAP61/CFAP46/KATNIP/CFAP157/CFAP45/CFAP43/DNAAF3/TTLL9/LRRC46/DNAH5/DNALI1/KIAA0319L/CFAP90/NEK10/DNAAF11/CFAP91/PIERCE1/SAXO4/EFCAB6/SPAG17/TLE6/TEKT2/CAMSAP3/DNAAF1/RIBC1/NHERF1/NME5/PIERCE2/TEKTIP1/TPGS1/CFAP119/NEURL1/SPEF2/ODAD3/STK36/CFAP44/CFAP53/CFAP57/TAC4/TEKT4",45
"GO:0007018","microtubule-based movement","74/1319","431/14562",0.17169373549884,1.89553008061722,5.95603408334423,4.83401534818287e-08,4.21365004516606e-05,4.0936477343296e-05,"SPEF1/BBOF1/KIF12/DYNLRB2/ZMYND10/BBS4/CIMIP2A/MAPT/CFAP61/CFAP46/KATNIP/CFAP157/CFAP45/CFAP43/DNAAF3/TTLL9/LRRC46/RAB27B/SYBU/DNAH5/DNALI1/KIAA0319L/IFT43/RAB17/BORCS7/CFAP90/FNTB/NEK10/DNAAF11/CFAP91/PIERCE1/SAXO4/EFCAB6/RABL2A/SPAG17/IFT140/IFT46/TRAK1/TLE6/MAPK8IP3/KIF3A/TEKT2/CAMSAP3/FUZ/KIF16B/DNAAF1/HSPB1/RIBC1/NHERF1/IFT88/NME5/PIERCE2/FMN2/TEKTIP1/RABL2B/TPGS1/CFAP119/FYCO1/NEURL1/SPG11/WDR19/KIF5C/CLN3/SPEF2/STK11/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/CFAP57/TAC4/KIF13B/TEKT4",74
"GO:0046879","hormone secretion","54/1319","283/14562",0.190812720848057,2.10660715768719,5.93283957515907,1.00124769725547e-07,7.48075065235162e-05,7.26770321000328e-05,"ABCC8/KCNJ11/CPLX1/TRPM4/GATA3/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",54
"GO:0046883","regulation of hormone secretion","45/1319","227/14562",0.198237885462555,2.18858232608471,5.69597608561961,3.77737761296139e-07,0.000246946061447351,0.000239913180760061,"ABCC8/KCNJ11/TRPM4/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/LEP/INHA/SLC30A8/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",45
"GO:0060271","cilium assembly","64/1319","382/14562",0.167539267015707,1.84966399263284,5.31086900120759,9.48325756962178e-07,0.000551082634323577,0.000535388120334086,"SPEF1/BBOF1/UBXN10/ZMYND10/ABLIM3/BBS4/CFAP61/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LAMA5/TTC8/LRRC46/DNAH5/DNALI1/DCDC2/CFAP410/IFT43/RAB17/RABEP2/DNAAF11/DNMBP/CFAP91/PIERCE1/DNAAF8/RABL2A/SPAG17/IFT140/IFT46/ERICH3/KIF3A/TEKT2/FUZ/DNAAF1/IFT88/NME5/LIMA1/PIERCE2/TRAPPC14/RABL2B/TPGS1/WDR90/CFAP119/NDUFAF2/RP1/ELMOD3/FBF1/NEURL1/WDR19/NUDCD3/FOXJ1/SPEF2/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/MACIR/MKS1/CFAP57/ARHGAP35/TEKT4",64
"GO:0001578","microtubule bundle formation","29/1319","123/14562",0.235772357723577,2.60296972946985,5.63422424201028,1.20586190231873e-06,0.000630665774912698,0.00061270477920974,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/NUMA1/DNAAF1/MTCL1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57",29
"GO:0006858","extracellular transport","16/1319","46/14562",0.347826086956522,3.84006328905297,6.08847130293593,1.34903736777313e-06,0.000641405948495768,0.000623139078874725,"KATNIP/ARRDC1/CFAP45/CFAP43/DNAAF3/DNAH5/NEK10/DNAAF11/SPAG17/DNAAF1/NHERF1/NME5/SPEF2/ODAD3/STK36/CFAP53",16
"GO:0044458","motile cilium assembly","21/1319","74/14562",0.283783783783784,3.13302460914288,5.805402243444,1.49057335249117e-06,0.000649641552794068,0.000631140137936392,"BBOF1/ZMYND10/BBS4/CFAP61/CFAP157/CFAP43/DNAAF3/LRRC46/DNALI1/DNAAF11/SPAG17/DNAAF1/TPGS1/CFAP119/NEURL1/FOXJ1/SPEF2/CFAP44/CFAP53/MKS1/CFAP57",21
"GO:0050796","regulation of insulin secretion","33/1319","152/14562",0.217105263157895,2.39688160887435,5.46354107279221,1.67185260009042e-06,0.00067259916142099,0.00065344392717704,"ABCC8/KCNJ11/TRPM4/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/SYTL4/MYRIP/SIRT3/GPER1/SYT7/MIDN/ADCY5/GIPR/ADRA2C/ABAT/PLA2G6/SIRT6/CAPN10/UCP2/LEP/SLC30A8/NNAT/NDUFAF2/ADRA2A/SLC8B1/PHPT1/ABCA12/PER2/C2CD2L",33
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement","15/1319","43/14562",0.348837209302326,3.85122626373045,5.90911398103801,2.76575427119855e-06,0.00103320677416917,0.00100378164414101,"KATNIP/CFAP45/CFAP43/DNAAF3/DNAH5/NEK10/DNAAF11/SPAG17/DNAAF1/NHERF1/NME5/SPEF2/ODAD3/STK36/CFAP53",15
"GO:0044782","cilium organization","66/1319","412/14562",0.160194174757282,1.76857283761602,4.99436443285864,3.19010764392418e-06,0.0011122841985149,0.00108060698927874,"SPEF1/BBOF1/UBXN10/ZMYND10/ABLIM3/BBS4/CFAP61/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LAMA5/TTC8/LRRC46/DNAH5/DNALI1/DCDC2/CFAP410/IFT43/RAB17/RABEP2/DNAAF11/DNMBP/CFAP91/PIERCE1/NECTIN2/DNAAF8/RABL2A/SPAG17/IFT140/IFT46/ERICH3/KIF3A/TEKT2/FUZ/DNAAF1/NHERF1/IFT88/NME5/LIMA1/PIERCE2/TRAPPC14/RABL2B/TPGS1/WDR90/CFAP119/NDUFAF2/RP1/ELMOD3/FBF1/NEURL1/WDR19/NUDCD3/FOXJ1/SPEF2/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/MACIR/MKS1/CFAP57/ARHGAP35/TEKT4",66
"GO:0030317","flagellated sperm motility","32/1319","154/14562",0.207792207792208,2.29406378307061,5.09493916156953,6.38582594217005e-06,0.00199339996524489,0.00193662908971261,"BBOF1/BBS4/CIMIP2A/CFAP61/CFAP157/CFAP45/CFAP43/TTLL9/LRRC46/DNAH5/DNALI1/KIAA0319L/CFAP90/DNAAF11/PIERCE1/SAXO4/EFCAB6/TLE6/TEKT2/RIBC1/PIERCE2/TEKTIP1/TPGS1/CFAP119/NEURL1/SPEF2/ODAD3/CFAP44/CFAP53/CFAP57/TAC4/TEKT4",32
