"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010817","regulation of hormone levels","85/1319","473/14562",0.179704016913319,1.98396504495205,6.86586034664307,4.8923811812968e-10,2.55871535781822e-06,2.48584462759154e-06,"HID1/ABCC8/SLC7A8/ESR1/KCNJ11/CPLX1/DHRS2/FOXA1/PCSK4/TRPM4/GATA3/TFAP2B/LIPE/CYP21A2/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SULT1A1/PNPLA2/RETSAT/SYBU/RAB11FIP1/WNK4/SYTL4/STC2/MYB/C1QTNF3/KISS1R/CACNA1H/BCAT2/MYRIP/RAB3A/SIRT3/DHRS4/HPN/GPER1/SYT7/MIDN/ADCY5/AGTR1/TPO/GIPR/UCN/ADRA2C/NAGLU/ADH1B/ABAT/PCLO/DHRS7/CHST8/STARD3/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SRD5A2/SLC30A8/DGKQ/SNAP23/TOR2A/PCSK6/NNAT/NDUFAF2/ANPEP/HSD17B4/DDO/SLC30A5/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/CPA3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",85
"GO:0035082","axoneme assembly","27/1319","93/14562",0.290322580645161,3.20521411626599,6.73283217171498,2.89647373193135e-08,4.21365004516606e-05,4.0936477343296e-05,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/DNAAF1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57",27
"GO:0009914","hormone transport","56/1319","291/14562",0.192439862542955,2.12457109806711,6.11548659264883,4.2918583235219e-08,4.21365004516606e-05,4.0936477343296e-05,"ABCC8/SLC7A8/KCNJ11/CPLX1/TRPM4/GATA3/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",56
"GO:0023061","signal release","76/1319","446/14562",0.170403587443946,1.88128661134097,5.96559252618822,4.40414120267212e-08,4.21365004516606e-05,4.0936477343296e-05,"ABCC8/KCNJ11/SYT9/CPLX1/GRM4/SYT1/TRPM4/GATA3/TFAP2B/GRIK5/SLC44A4/BAIAP3/SLC4A8/RIMS4/ITPR1/RPH3AL/RAPGEF3/SYBU/DOC2A/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/TSPOAP1/SNCG/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADORA2A/ADCY5/AGTR1/GIPR/UCN/ADRA2C/LIN7A/MYOF/PTGES/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/PRRT2/UCP2/ADIPOQ/TBX3/RAB44/LEP/PORCN/INHA/VAMP2/CADPS2/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/CHRNB2/PIP5K1C/PPFIA2/P2RX4/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L",76
"GO:0003341","cilium movement","45/1319","212/14562",0.212264150943396,2.34343484915674,6.21846793070709,4.68177260643896e-08,4.21365004516606e-05,4.0936477343296e-05,"SPEF1/BBOF1/ZMYND10/BBS4/CIMIP2A/CFAP61/CFAP46/KATNIP/CFAP157/CFAP45/CFAP43/DNAAF3/TTLL9/LRRC46/DNAH5/DNALI1/KIAA0319L/CFAP90/NEK10/DNAAF11/CFAP91/PIERCE1/SAXO4/EFCAB6/SPAG17/TLE6/TEKT2/CAMSAP3/DNAAF1/RIBC1/NHERF1/NME5/PIERCE2/TEKTIP1/TPGS1/CFAP119/NEURL1/SPEF2/ODAD3/STK36/CFAP44/CFAP53/CFAP57/TAC4/TEKT4",45
"GO:0001578","microtubule bundle formation","29/1319","123/14562",0.235772357723577,2.60296972946985,5.63422424201028,1.20586190231873e-06,0.000630665774912698,0.00061270477920974,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/NUMA1/DNAAF1/MTCL1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57",29
"GO:0006858","extracellular transport","16/1319","46/14562",0.347826086956522,3.84006328905297,6.08847130293593,1.34903736777313e-06,0.000641405948495768,0.000623139078874725,"KATNIP/ARRDC1/CFAP45/CFAP43/DNAAF3/DNAH5/NEK10/DNAAF11/SPAG17/DNAAF1/NHERF1/NME5/SPEF2/ODAD3/STK36/CFAP53",16
"GO:0003351","epithelial cilium movement involved in extracellular fluid movement","15/1319","43/14562",0.348837209302326,3.85122626373045,5.90911398103801,2.76575427119855e-06,0.00103320677416917,0.00100378164414101,"KATNIP/CFAP45/CFAP43/DNAAF3/DNAH5/NEK10/DNAAF11/SPAG17/DNAAF1/NHERF1/NME5/SPEF2/ODAD3/STK36/CFAP53",15
"GO:0044782","cilium organization","66/1319","412/14562",0.160194174757282,1.76857283761602,4.99436443285864,3.19010764392418e-06,0.0011122841985149,0.00108060698927874,"SPEF1/BBOF1/UBXN10/ZMYND10/ABLIM3/BBS4/CFAP61/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LAMA5/TTC8/LRRC46/DNAH5/DNALI1/DCDC2/CFAP410/IFT43/RAB17/RABEP2/DNAAF11/DNMBP/CFAP91/PIERCE1/NECTIN2/DNAAF8/RABL2A/SPAG17/IFT140/IFT46/ERICH3/KIF3A/TEKT2/FUZ/DNAAF1/NHERF1/IFT88/NME5/LIMA1/PIERCE2/TRAPPC14/RABL2B/TPGS1/WDR90/CFAP119/NDUFAF2/RP1/ELMOD3/FBF1/NEURL1/WDR19/NUDCD3/FOXJ1/SPEF2/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/MACIR/MKS1/CFAP57/ARHGAP35/TEKT4",66
"GO:0030317","flagellated sperm motility","32/1319","154/14562",0.207792207792208,2.29406378307061,5.09493916156953,6.38582594217005e-06,0.00199339996524489,0.00193662908971261,"BBOF1/BBS4/CIMIP2A/CFAP61/CFAP157/CFAP45/CFAP43/TTLL9/LRRC46/DNAH5/DNALI1/KIAA0319L/CFAP90/DNAAF11/PIERCE1/SAXO4/EFCAB6/TLE6/TEKT2/RIBC1/PIERCE2/TEKTIP1/TPGS1/CFAP119/NEURL1/SPEF2/ODAD3/CFAP44/CFAP53/CFAP57/TAC4/TEKT4",32
"GO:0035592","establishment of protein localization to extracellular region","54/1319","333/14562",0.162162162162162,1.79029977665307,4.60417259442727,1.73601302949562e-05,0.00432349911631529,0.0042003683676067,"ABCC8/KCNJ11/CPLX1/TRPM4/TFAP2B/BAIAP3/SLC4A8/NECAB3/ITPR1/RPH3AL/RAPGEF3/APBB3/SYBU/RAB11FIP1/SYTL4/C1QTNF3/SNCG/MYRIP/RAB3A/SIRT3/GSDMD/GPER1/ANG/SYT7/MIDN/ADORA2A/ADCY5/GIPR/ADRA2C/TGFB3/ABAT/PCLO/AP1M2/PLA2G6/SIRT6/NLRP6/CAPN10/UCP2/LEP/PORCN/SLC30A8/NNAT/NDUFAF2/APBB1/ADRA2A/SLC8B1/DNAJC1/CBLN4/RAB11FIP3/PHPT1/ABCA12/PER2/C2CD2L/ARL4D",54
"GO:0007389","pattern specification process","63/1319","411/14562",0.153284671532847,1.6922906647925,4.49304356976246,2.21038982166461e-05,0.00502623424665473,0.00488309000877577,"AR/EMX1/CHRD/FOXA1/ZBTB16/BBS4/LFNG/CFAP45/HOXB2/DNAAF3/BTG2/LAMA5/HOXB3/TTC8/DNAH5/MEIS3/HOXB4/ROBO2/SEMA3F/WNT7B/HOXB6/DNAAF11/HOXB5/PIERCE1/HOXC6/HOXC4/HOXC8/ERBB4/HOXC5/SMAD3/BHLHE40/IFT140/NEK8/OVOL2/FGF10/PBX1/FUZ/DNAAF1/TBX3/HOXC10/APC2/PIERCE2/LMX1B/MICAL2/HOXD8/HOXC9/BMP4/PCSK6/HOXD3/MSX2/HOXD4/DMRT2/WDR19/GLI3/GSC/HOXB8/DOP1B/FOXJ1/ODAD3/CFAP53/SYNGAP1/MKS1/CRB2",63
"GO:0071692","protein localization to extracellular region","54/1319","337/14562",0.160237388724036,1.76904992767203,4.50783652088177,2.44621274585382e-05,0.005163812984762,0.0050167505841695,"ABCC8/KCNJ11/CPLX1/TRPM4/TFAP2B/BAIAP3/SLC4A8/NECAB3/ITPR1/RPH3AL/RAPGEF3/APBB3/SYBU/RAB11FIP1/SYTL4/C1QTNF3/SNCG/MYRIP/RAB3A/SIRT3/GSDMD/GPER1/ANG/SYT7/MIDN/ADORA2A/ADCY5/GIPR/ADRA2C/TGFB3/ABAT/PCLO/AP1M2/PLA2G6/SIRT6/NLRP6/CAPN10/UCP2/LEP/PORCN/SLC30A8/NNAT/NDUFAF2/APBB1/ADRA2A/SLC8B1/DNAJC1/CBLN4/RAB11FIP3/PHPT1/ABCA12/PER2/C2CD2L/ARL4D",54
"GO:0031630","regulation of synaptic vesicle fusion to presynaptic active zone membrane","9/1319","20/14562",0.45,4.96808188021228,5.60413207546121,2.66583079519262e-05,0.005163812984762,0.0050167505841695,"SYT9/CPLX1/SYT1/GRIK5/RPH3AL/DOC2A/RAB3A/SYT7/PRRT2",9
"GO:1901632","regulation of synaptic vesicle membrane organization","9/1319","20/14562",0.45,4.96808188021228,5.60413207546121,2.66583079519262e-05,0.005163812984762,0.0050167505841695,"SYT9/CPLX1/SYT1/GRIK5/RPH3AL/DOC2A/RAB3A/SYT7/PRRT2",9
"GO:0002791","regulation of peptide secretion","34/1319","180/14562",0.188888888888889,2.08536770280516,4.62411167172986,2.8253782644144e-05,0.00527740297245975,0.00512710559486026,"ABCC8/KCNJ11/TRPM4/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/SYTL4/MYRIP/SIRT3/GPER1/SYT7/MIDN/ADCY5/GIPR/UCN/ADRA2C/ABAT/PLA2G6/SIRT6/CAPN10/UCP2/LEP/SLC30A8/NNAT/NDUFAF2/ADRA2A/SLC8B1/PHPT1/ABCA12/PER2/C2CD2L",34
"GO:0099500","vesicle fusion to plasma membrane","11/1319","30/14562",0.366666666666667,4.04806671721001,5.27408604291779,3.48848421553756e-05,0.00585075092678082,0.00568412493178445,"SYT9/CPLX1/SYT1/GRIK5/RPH3AL/DOC2A/RAB3A/SYT7/PRRT2/SNAP23/TRARG1",11
"GO:0120254","olefinic compound metabolic process","28/1319","139/14562",0.201438848920863,2.22392154509902,4.57570468520301,4.28553769777635e-05,0.00679192792708192,0.00659849775667192,"FAAH/GRIN1/CYP4F8/LIPE/CYP21A2/ELOVL2/CYP4Z1/ALOX15B/PNPLA2/RETSAT/CACNA1H/ELOVL5/DHRS4/MGLL/CYP2B6/DHRS4L2/ADH1B/DHRS7/GSTM2/STARD3/GPX4/CYP4F12/CYP4F11/SRD5A2/DGKQ/HSD17B4/DAGLA/CYP2A7",28
