"Gene_set","ID","Description","GeneRatio","BgRatio","p.adjust","qvalue","Count","geneID"
"ER_pos_up","GO:0010817","regulation of hormone levels","85/1319","473/14562",2.55871535781822e-06,2.48584462759154e-06,85,"HID1/ABCC8/SLC7A8/ESR1/KCNJ11/CPLX1/DHRS2/FOXA1/PCSK4/TRPM4/GATA3/TFAP2B/LIPE/CYP21A2/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SULT1A1/PNPLA2/RETSAT/SYBU/RAB11FIP1/WNK4/SYTL4/STC2/MYB/C1QTNF3/KISS1R/CACNA1H/BCAT2/MYRIP/RAB3A/SIRT3/DHRS4/HPN/GPER1/SYT7/MIDN/ADCY5/AGTR1/TPO/GIPR/UCN/ADRA2C/NAGLU/ADH1B/ABAT/PCLO/DHRS7/CHST8/STARD3/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SRD5A2/SLC30A8/DGKQ/SNAP23/TOR2A/PCSK6/NNAT/NDUFAF2/ANPEP/HSD17B4/DDO/SLC30A5/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/CPA3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L"
"ER_pos_up","GO:0035082","axoneme assembly","27/1319","93/14562",4.21365004516606e-05,4.0936477343296e-05,27,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/DNAAF1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57"
"ER_pos_up","GO:0009914","hormone transport","56/1319","291/14562",4.21365004516606e-05,4.0936477343296e-05,56,"ABCC8/SLC7A8/KCNJ11/CPLX1/TRPM4/GATA3/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/CRYM/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L"
"ER_pos_up","GO:0023061","signal release","76/1319","446/14562",4.21365004516606e-05,4.0936477343296e-05,76,"ABCC8/KCNJ11/SYT9/CPLX1/GRM4/SYT1/TRPM4/GATA3/TFAP2B/GRIK5/SLC44A4/BAIAP3/SLC4A8/RIMS4/ITPR1/RPH3AL/RAPGEF3/SYBU/DOC2A/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/TSPOAP1/SNCG/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADORA2A/ADCY5/AGTR1/GIPR/UCN/ADRA2C/LIN7A/MYOF/PTGES/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/PRRT2/UCP2/ADIPOQ/TBX3/RAB44/LEP/PORCN/INHA/VAMP2/CADPS2/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/CHRNB2/PIP5K1C/PPFIA2/P2RX4/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L"
"ER_pos_up","GO:0003341","cilium movement","45/1319","212/14562",4.21365004516606e-05,4.0936477343296e-05,45,"SPEF1/BBOF1/ZMYND10/BBS4/CIMIP2A/CFAP61/CFAP46/KATNIP/CFAP157/CFAP45/CFAP43/DNAAF3/TTLL9/LRRC46/DNAH5/DNALI1/KIAA0319L/CFAP90/NEK10/DNAAF11/CFAP91/PIERCE1/SAXO4/EFCAB6/SPAG17/TLE6/TEKT2/CAMSAP3/DNAAF1/RIBC1/NHERF1/NME5/PIERCE2/TEKTIP1/TPGS1/CFAP119/NEURL1/SPEF2/ODAD3/STK36/CFAP44/CFAP53/CFAP57/TAC4/TEKT4"
"ER_pos_up","GO:0007018","microtubule-based movement","74/1319","431/14562",4.21365004516606e-05,4.0936477343296e-05,74,"SPEF1/BBOF1/KIF12/DYNLRB2/ZMYND10/BBS4/CIMIP2A/MAPT/CFAP61/CFAP46/KATNIP/CFAP157/CFAP45/CFAP43/DNAAF3/TTLL9/LRRC46/RAB27B/SYBU/DNAH5/DNALI1/KIAA0319L/IFT43/RAB17/BORCS7/CFAP90/FNTB/NEK10/DNAAF11/CFAP91/PIERCE1/SAXO4/EFCAB6/RABL2A/SPAG17/IFT140/IFT46/TRAK1/TLE6/MAPK8IP3/KIF3A/TEKT2/CAMSAP3/FUZ/KIF16B/DNAAF1/HSPB1/RIBC1/NHERF1/IFT88/NME5/PIERCE2/FMN2/TEKTIP1/RABL2B/TPGS1/CFAP119/FYCO1/NEURL1/SPG11/WDR19/KIF5C/CLN3/SPEF2/STK11/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/CFAP57/TAC4/KIF13B/TEKT4"
"ER_pos_up","GO:0046879","hormone secretion","54/1319","283/14562",7.48075065235162e-05,7.26770321000328e-05,54,"ABCC8/KCNJ11/CPLX1/TRPM4/GATA3/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/WNK4/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/RAB3A/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PCLO/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/TBX3/RAB44/LEP/INHA/SLC30A8/SNAP23/TOR2A/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L"
"ER_pos_up","GO:0046883","regulation of hormone secretion","45/1319","227/14562",0.000246946061447351,0.000239913180760061,45,"ABCC8/KCNJ11/TRPM4/TFAP2B/BAIAP3/ITPR1/RPH3AL/RAPGEF3/SYBU/RAB11FIP1/SYTL4/MYB/C1QTNF3/KISS1R/MYRIP/SIRT3/GPER1/SYT7/MIDN/ADCY5/AGTR1/GIPR/UCN/ADRA2C/ABAT/PLA2G6/SIRT6/CAPN10/UCP2/ADIPOQ/LEP/INHA/SLC30A8/NNAT/NDUFAF2/ADRA2A/SLC8B1/AGT/RAB11FIP3/PHPT1/ABCA12/CRY2/IL11/PER2/C2CD2L"
"ER_pos_up","GO:0060271","cilium assembly","64/1319","382/14562",0.000551082634323577,0.000535388120334086,64,"SPEF1/BBOF1/UBXN10/ZMYND10/ABLIM3/BBS4/CFAP61/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LAMA5/TTC8/LRRC46/DNAH5/DNALI1/DCDC2/CFAP410/IFT43/RAB17/RABEP2/DNAAF11/DNMBP/CFAP91/PIERCE1/DNAAF8/RABL2A/SPAG17/IFT140/IFT46/ERICH3/KIF3A/TEKT2/FUZ/DNAAF1/IFT88/NME5/LIMA1/PIERCE2/TRAPPC14/RABL2B/TPGS1/WDR90/CFAP119/NDUFAF2/RP1/ELMOD3/FBF1/NEURL1/WDR19/NUDCD3/FOXJ1/SPEF2/ODAD3/STK36/RAB11FIP3/CFAP44/CFAP53/MACIR/MKS1/CFAP57/ARHGAP35/TEKT4"
"ER_pos_up","GO:0001578","microtubule bundle formation","29/1319","123/14562",0.000630665774912698,0.00061270477920974,29,"SPEF1/BBOF1/ZMYND10/CFAP46/RSPH1/CFAP157/CFAP43/DNAAF3/LRRC46/DNAH5/DNAAF11/CFAP91/PIERCE1/DNAAF8/SPAG17/TEKT2/NUMA1/DNAAF1/MTCL1/PIERCE2/TPGS1/RP1/NEURL1/FOXJ1/SPEF2/ODAD3/STK36/CFAP44/CFAP57"
