"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-69620","Cell Cycle Checkpoints","70/1120","272/9605",0.257352941176471,2.20703125,7.33671243215858,5.90379914946784e-11,8.69039234801666e-08,8.20317355505005e-08,"CDKN2A/CDCA8/CDC20/CCNA1/MCM10/CENPA/CCNE1/PLK1/CENPF/KIF2C/CDC7/CLSPN/CCNB2/RNF8/BLM/BIRC5/CENPO/PSMD7/SPC24/RFC4/BARD1/BUB1B/CCNA2/EXO1/ORC1/UBE2S/DSN1/KIF18A/H2BC11/SEH1L/UBE2C/RFC2/NDC80/BUB1/RNF168/CHEK1/GTSE1/CENPM/SEM1/MCM7/MCM2/MAD2L1/CDC45/AURKB/RPS27A/CDC25A/NUF2/XPO1/PSMB2/KNL1/CENPU/NBN/ZW10/CUL1/CDK1/CENPH/CENPL/H2AX/RHNO1/PSMD11/MCM8/DBF4/INCENP/H4C3/PAFAH1B1/CENPE/MCM6/SKA1/RMI2/MCM5",70
"R-HSA-453279","Mitotic G1 phase and G1/S transition","42/1120","136/9605",0.308823529411765,2.6484375,7.03394624892307,1.30479393458577e-09,9.6032833585513e-07,9.06488417712222e-07,"CDKN2A/CDK6/E2F3/CCNA1/MCM10/CCNE1/RRM2/FBXO5/LIN9/CDC7/RBL1/PSMD7/CDT1/CCNA2/ORC1/LYN/PRIM2/SKP2/SEM1/MCM7/MCM2/CDC45/MYBL2/CKS1B/RPS27A/CDC25A/E2F5/PSMB2/CUL1/MYC/CDK1/POLE3/PSMD11/E2F1/GMNN/MCM8/TYMS/DBF4/TFDP2/MCM6/CDKN2C/MCM5",42
"R-HSA-69206","G1/S Transition","36/1120","120/9605",0.3,2.57276785714286,6.29862487447613,4.56513184417009e-08,2.23995802487279e-05,2.11437685414193e-05,"CCNA1/MCM10/CCNE1/RRM2/FBXO5/LIN9/CDC7/RBL1/PSMD7/CDT1/CCNA2/ORC1/PRIM2/SKP2/SEM1/MCM7/MCM2/CDC45/CKS1B/RPS27A/CDC25A/E2F5/PSMB2/CUL1/MYC/CDK1/POLE3/PSMD11/E2F1/GMNN/MCM8/TYMS/DBF4/TFDP2/MCM6/MCM5",36
"R-HSA-2555396","Mitotic Metaphase and Anaphase","52/1120","215/9605",0.241860465116279,2.07416943521595,5.78719862426925,1.62070231043399e-07,5.00171312158775e-05,4.72129671088088e-05,"LBR/CDCA8/CDC20/CENPA/PLK1/CENPF/KIF2C/FBXO5/PTTG1/CCNB2/BIRC5/CENPO/PSMD7/SPC24/BUB1B/UBE2S/DSN1/KIF18A/SEH1L/UBE2C/NDC80/TMPO/BUB1/TUBB6/CENPM/SEM1/MAD2L1/NUP93/AURKB/NDC1/RPS27A/NUF2/XPO1/CDCA5/PSMB2/KNL1/CENPU/ZW10/CDK1/CENPH/TUBA4A/NUP205/CENPL/PSMD11/CHMP4C/INCENP/STAG1/PAFAH1B1/CENPE/VRK2/NUP35/SKA1",52
"R-HSA-141424","Amplification of signal from the kinetochores","29/1120","91/9605",0.318681318681319,2.73297684458399,6.03449658959311,2.21609950944974e-07,5.00171312158775e-05,4.72129671088088e-05,"CDCA8/CDC20/CENPA/PLK1/CENPF/KIF2C/BIRC5/CENPO/SPC24/BUB1B/DSN1/KIF18A/SEH1L/NDC80/BUB1/CENPM/MAD2L1/AURKB/NUF2/XPO1/KNL1/CENPU/ZW10/CENPH/CENPL/INCENP/PAFAH1B1/CENPE/SKA1",29
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal","29/1120","91/9605",0.318681318681319,2.73297684458399,6.03449658959311,2.21609950944974e-07,5.00171312158775e-05,4.72129671088088e-05,"CDCA8/CDC20/CENPA/PLK1/CENPF/KIF2C/BIRC5/CENPO/SPC24/BUB1B/DSN1/KIF18A/SEH1L/NDC80/BUB1/CENPM/MAD2L1/AURKB/NUF2/XPO1/KNL1/CENPU/ZW10/CENPH/CENPL/INCENP/PAFAH1B1/CENPE/SKA1",29
"R-HSA-2500257","Resolution of Sister Chromatid Cohesion","35/1120","122/9605",0.286885245901639,2.46029713114754,5.89735722976783,2.37853205510287e-07,5.00171312158775e-05,4.72129671088088e-05,"CDCA8/CDC20/CENPA/PLK1/CENPF/KIF2C/CCNB2/BIRC5/CENPO/SPC24/BUB1B/DSN1/KIF18A/SEH1L/NDC80/BUB1/TUBB6/CENPM/MAD2L1/AURKB/NUF2/XPO1/CDCA5/KNL1/CENPU/ZW10/CDK1/CENPH/TUBA4A/CENPL/INCENP/STAG1/PAFAH1B1/CENPE/SKA1",35
"R-HSA-68882","Mitotic Anaphase","51/1120","214/9605",0.238317757009346,2.04378755006676,5.61012118405577,3.48667114236264e-07,6.41547490194726e-05,6.05579724726143e-05,"LBR/CDCA8/CDC20/CENPA/PLK1/CENPF/KIF2C/PTTG1/CCNB2/BIRC5/CENPO/PSMD7/SPC24/BUB1B/UBE2S/DSN1/KIF18A/SEH1L/UBE2C/NDC80/TMPO/BUB1/TUBB6/CENPM/SEM1/MAD2L1/NUP93/AURKB/NDC1/RPS27A/NUF2/XPO1/CDCA5/PSMB2/KNL1/CENPU/ZW10/CDK1/CENPH/TUBA4A/NUP205/CENPL/PSMD11/CHMP4C/INCENP/STAG1/PAFAH1B1/CENPE/VRK2/NUP35/SKA1",51
"R-HSA-69205","G1/S-Specific Transcription","14/1120","28/9605",0.5,4.28794642857143,6.32991923097707,6.54620505754634e-07,0.000107066820496758,0.000101064218432294,"CCNA1/CCNE1/RRM2/FBXO5/LIN9/RBL1/CDT1/ORC1/CDC45/E2F5/CDK1/E2F1/TYMS/TFDP2",14
"R-HSA-5663220","RHO GTPases Activate Formins","36/1120","133/9605",0.270676691729323,2.32129430719656,5.57459990845871,7.69047838020889e-07,0.000113203841756675,0.000106857173282902,"FMNL2/CDCA8/CDC20/DIAPH2/CENPA/PLK1/CENPF/KIF2C/DIAPH3/ITGB1/BIRC5/CENPO/SPC24/BUB1B/DSN1/KIF18A/SEH1L/NDC80/BUB1/TUBB6/CENPM/MAD2L1/AURKB/NUF2/XPO1/KNL1/CENPU/ZW10/CENPH/TUBA4A/CENPL/PFN2/INCENP/PAFAH1B1/CENPE/SKA1",36
